Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Ppm1n,4.525272449,-5.598742943,3.075422288,-1.820479407,0.06868603,0.999842552
Gm40325,4.499600028,-5.591504755,3.916016119,-1.427855398,0.153333484,0.999842552
1700064M15Rik,4.451761513,-5.573708845,1.757616585,-3.171174472,0.001518239,0.196357262
Pcdha9,4.421793612,-5.565017992,3.16047303,-1.760818061,0.078269202,0.999842552
Gm34403,4.413840404,-5.560258857,2.069898226,-2.686247463,0.007225955,0.582399998
Gm7854,4.372277636,-5.54994654,1.762079083,-3.149658034,0.001634617,0.207276857
2600014E21Rik,4.376086768,-5.54794097,1.956847843,-2.835141726,0.004580536,0.430900391
Morn5,4.312325766,-5.528554983,3.166716636,-1.745831919,0.080840163,0.999842552
Gm30624,4.302575832,-5.526193182,3.08895089,-1.789019437,0.073611685,0.999842552
Gm34930,4.284505606,-5.519336553,3.129459491,-1.763670873,0.077787408,0.999842552
Gm32778,4.249099321,-5.511229565,1.930549971,-2.854745874,0.004307128,0.417006268
Gm38910,4.225239696,-5.501608293,3.068607252,-1.792868178,0.072994005,0.999842552
Gm41543,4.226717545,-5.499846367,3.916622176,-1.404232045,0.160249762,0.999842552
Gm30585,4.21530622,-5.498279614,3.064908475,-1.793945777,0.072821824,0.999842552
Gm35746,4.12174479,-5.467086205,1.90469997,-2.870313588,0.004100649,0.405162858
4930553P18Rik,4.089764484,-5.453479106,3.223681595,-1.69169285,0.090704552,0.999842552
Cldn14,4.064140271,-5.44548245,3.15192017,-1.727671437,0.084047147,0.999842552
Gm31881,4.057648843,-5.440901557,3.917032715,-1.389036537,0.16482164,0.999842552
Mab21l4,4.057648843,-5.440901557,3.917032715,-1.389036537,0.16482164,0.999842552
4931440J10Rik,4.004339805,-5.424865259,1.768442902,-3.06759424,0.002157894,0.251753217
Gm39661,4.004323736,-5.423559722,3.270307825,-1.658424837,0.097231747,0.999842552
Klkb1,3.984456784,-5.416537669,3.186245775,-1.699974845,0.089135657,0.999842552
Gm39845,3.974188363,-5.410678912,3.178578874,-1.702232075,0.088711872,0.999842552
Gm33474,3.966602238,-5.410091291,3.120364004,-1.73380134,0.082953338,0.999842552
Amelx,3.946368202,-5.400690553,3.142774476,-1.71844674,0.085715161,0.999842552
Lbhd2,3.934605862,-5.397660176,3.229163757,-1.67153498,0.094616055,0.999842552
Gm32014,3.888580142,-5.379445062,3.917478938,-1.373190551,0.169693116,0.999842552
Cldn20,3.855138055,-5.369802394,1.857377283,-2.891067121,0.003839361,0.388214256
Shox2,3.833290835,-5.362308013,1.799190341,-2.980400622,0.002878716,0.315677593
Ttc39d,3.841060502,-5.36010143,1.847948459,-2.900568685,0.003724862,0.381472454
Gm34353,3.829298162,-5.359267079,3.192246117,-1.678838937,0.093183438,0.999842552
Fcamr,3.797533536,-5.347393981,3.143139342,-1.701290779,0.088888399,0.999842552
Vax2os,3.793205917,-5.343504681,3.244510203,-1.646937241,0.099570946,0.999842552
Pdzph1,3.72165918,-5.316501403,3.129182562,-1.699006465,0.089317966,0.999842552
Gm34029,3.69383902,-5.305907811,3.138410363,-1.690635448,0.09090645,0.999842552
Kcnj9,3.681925276,-5.299118006,1.882501139,-2.814934821,0.004878713,0.452198594
Gfi1b,3.663871119,-5.293180669,3.252250805,-1.627543811,0.103621652,0.999842552
Gm30409,3.652124848,-5.288035033,1.836144762,-2.879966298,0.003977177,0.395978304
Gm31183,3.649961039,-5.287753081,3.218686035,-1.642829721,0.100418169,0.999842552
Gm35874,3.602624941,-5.274118335,2.058088339,-2.562629716,0.010388277,0.721571164
Tln1,3.572824514,-5.262303629,2.169035327,-2.426103238,0.015261928,0.932831729
Gm39728,3.550793752,-5.25057419,2.049808174,-2.561495391,0.010422262,0.721936394
Gm30120,3.552590478,-5.249454172,3.144139268,-1.669599761,0.094998578,0.999842552
Gm30120,3.552590478,-5.249454172,3.144139268,-1.669599761,0.094998578,0.999842552
9630028I04Rik,3.550442738,-5.248073211,3.918498806,-1.339307084,0.180470723,0.999842552
Gm36435,3.550442738,-5.248073211,3.918498806,-1.339307084,0.180470723,0.999842552
Rbakdn,3.538847871,-5.245352171,3.289085855,-1.594775084,0.110762541,0.999842552
Cd163l1,3.540676735,-5.242182513,1.92971567,-2.716556949,0.006596485,0.553436524
Atp4b,3.518980919,-5.23742078,3.205756465,-1.633755039,0.102310296,0.999842552
Gm38515,3.504919435,-5.230274282,3.14837891,-1.661259471,0.096661346,0.999842552
Gm41143,3.453072177,-5.207889171,3.184007297,-1.635639835,0.101914988,0.999842552
Gm33858,3.439162097,-5.202173462,3.171043836,-1.640523982,0.100896266,0.999842552
Gm31796,3.409545211,-5.191334206,3.146034573,-1.650119885,0.098918418,0.999842552
Gm30632,3.381374036,-5.177610397,3.91908519,-1.32112729,0.186458925,0.999842552
Gm32123,3.381374036,-5.177610397,3.91908519,-1.32112729,0.186458925,0.999842552
Gm33651,3.381374036,-5.177610397,3.91908519,-1.32112729,0.186458925,0.999842552
Gm33967,3.381374036,-5.177610397,3.91908519,-1.32112729,0.186458925,0.999842552
Slc39a12,3.381374036,-5.177610397,3.91908519,-1.32112729,0.186458925,0.999842552
Gm6416,3.369795238,-5.176714458,1.840323472,-2.812937256,0.004909123,0.452302214
Hcrtr2,3.369611696,-5.173340276,3.169552987,-1.632198704,0.102637634,0.999842552
Tomm20l,3.367463956,-5.171348898,3.51760657,-1.470132829,0.141525783,0.999842552
E030025P04Rik,3.340178352,-5.162953867,3.919210788,-1.317345289,0.187722911,0.999842552
Gys2,3.340178352,-5.162953867,3.919210788,-1.317345289,0.187722911,0.999842552
C330016L05Rik,3.335850733,-5.159011714,3.160573021,-1.632302649,0.102615746,0.999842552
Gm15395,3.300061296,-5.143958784,3.305795269,-1.556042757,0.119697926,0.999842552
Grik1,3.258331055,-5.12589823,3.919534065,-1.307782544,0.190947077,0.999842552
Gm11210,3.242640318,-5.120400207,3.369153264,-1.519788447,0.128564154,0.999842552
Fam166b,3.208663675,-5.104330054,3.223088145,-1.583676842,0.113267277,0.999842552
1700041A01Rik,3.212305334,-5.1035288,3.919733261,-1.302009208,0.192913238,0.999842552
AA623943,3.212305334,-5.1035288,3.919733261,-1.302009208,0.192913238,0.999842552
Gm41680,3.212305334,-5.1035288,3.919733261,-1.302009208,0.192913238,0.999842552
Gm46161,3.212305334,-5.1035288,3.919733261,-1.302009208,0.192913238,0.999842552
Gm46325,3.212305334,-5.1035288,3.919733261,-1.302009208,0.192913238,0.999842552
Gpr18,3.212305334,-5.1035288,3.919733261,-1.302009208,0.192913238,0.999842552
Gm35311,3.166765962,-5.083310491,2.095900344,-2.42535887,0.015293261,0.932831729
Prdm13,3.139129344,-5.073497585,3.156256414,-1.607441513,0.10795755,0.999842552
Ppp1r3a,3.129195868,-5.06902561,3.164474879,-1.601853642,0.109187978,0.999842552
Gm9149,3.127032059,-5.066055631,1.809580893,-2.799574007,0.005117009,0.466510598
BC055402,3.11693111,-5.060092941,3.279776335,-1.542816468,0.122875313,0.999842552
1700020N01Rik,3.087114613,-5.046510455,3.192740361,-1.580620372,0.113964865,0.999842552
Gm33560,3.045384373,-5.027355873,3.207176085,-1.567533475,0.116990048,0.999842552
Gm14161,3.043236633,-5.025436495,3.920453294,-1.281850877,0.199894963,0.999842552
Lamp5,3.043236633,-5.025436495,3.920453294,-1.281850877,0.199894963,0.999842552
Gm40218,3.033638102,-5.02370876,3.190991578,-1.574340965,0.115408644,0.999842552
Gm36774,3.023704626,-5.019099641,3.178952186,-1.578853455,0.114369674,0.999842552
Olfr510,3.023704626,-5.019099641,3.178952186,-1.578853455,0.114369674,0.999842552
Gm34527,2.983970722,-5.000484124,3.178265951,-1.573337223,0.115640755,0.999842552
Gm32518,2.973869774,-4.993757819,3.190947142,-1.564976666,0.117588381,0.999842552
Gm35540,2.959776152,-4.985302486,3.238154826,-1.539550378,0.123669989,0.999842552
Gm35089,2.948013812,-4.981529202,3.920875517,-1.270514501,0.203901421,0.999842552
Olfr214,2.934119801,-4.976035953,1.866018403,-2.666659636,0.007660921,0.606439317
Reg4,2.931955991,-4.971974421,3.214827572,-1.546575768,0.121965577,0.999842552
Gm38331,2.904502915,-4.961536194,3.921072058,-1.265351955,0.20574519,0.999842552
9130230L23Rik,2.904135831,-4.958559044,3.214524019,-1.54254845,0.122940374,0.999842552
Zscan4d,2.888412956,-4.952888541,3.221634296,-1.537383851,0.124199339,0.999842552
A930001C03Rik,2.882288612,-4.945652239,2.017014213,-2.451966975,0.01420777,0.887791784
4930570E03Rik,2.874167931,-4.942873686,3.921257984,-1.260532642,0.20747728,0.999842552
Gm36876,2.874167931,-4.942873686,3.921257984,-1.260532642,0.20747728,0.999842552
Fut1,2.852488184,-4.933182401,3.213923238,-1.534940954,0.124798333,0.999842552
Gm2035,2.848495511,-4.931387099,3.291726132,-1.498115852,0.134103153,0.999842552
Gm40915,2.830808437,-4.924349929,3.326715106,-1.480243956,0.138808154,0.999842552
Gm35920,2.828812101,-4.92357802,3.204496342,-1.536459242,0.124425787,0.999842552
A830009L08Rik,2.808761607,-4.911613292,1.973816431,-2.488384034,0.012832508,0.832594506
Gm8790,2.80461753,-4.907447689,3.274869838,-1.498516867,0.133999014,0.999842552
Gm33312,2.79285519,-4.903538712,3.921657796,-1.250373941,0.211162979,0.999842552
Gm41147,2.79285519,-4.903538712,3.921657796,-1.250373941,0.211162979,0.999842552
Gm5091,2.79285519,-4.903538712,3.921657796,-1.250373941,0.211162979,0.999842552
Fezf2,2.77679737,-4.893374875,3.241092471,-1.509791812,0.131096555,0.999842552
Zfp652os,2.763054762,-4.888521241,3.338835937,-1.464139399,0.143155864,0.999842552
Sult1c1,2.759277769,-4.887622484,3.921822684,-1.246262995,0.212667859,0.999842552
Nkx2-5,2.753121286,-4.883470938,3.291827956,-1.483513417,0.137938055,0.999842552
Gm5693,2.721157049,-4.864932245,3.253843157,-1.495134218,0.134879417,0.999842552
Saa2,2.707263038,-4.857592958,3.240714714,-1.498926436,0.133892717,0.999842552
2810454H06Rik,2.705099229,-4.855299012,3.922163176,-1.237913568,0.215748111,0.999842552
Gm36674,2.705099229,-4.855299012,3.922163176,-1.237913568,0.215748111,0.999842552
Tmprss3,2.705099229,-4.855299012,3.922163176,-1.237913568,0.215748111,0.999842552
Allc,2.693520431,-4.852763293,3.212475167,-1.510599473,0.130890528,0.999842552
Tex37,2.649458908,-4.825154858,3.321340292,-1.452773409,0.146286677,0.999842552
Gm11765,2.637696568,-4.821089855,3.922531903,-1.229076009,0.219043309,0.999842552
Saa1,2.637696568,-4.821089855,3.922531903,-1.229076009,0.219043309,0.999842552
Wnt16,2.637696568,-4.821089855,3.922531903,-1.229076009,0.219043309,0.999842552
Mip,5.245878532,-4.806576162,3.631827657,-1.32345932,0.185682676,0.999842552
Tssk5,2.609725005,-4.803808713,3.321655948,-1.446208996,0.148118591,0.999842552
Dapl1,2.593818588,-4.795236831,3.258510975,-1.471603707,0.141127924,0.999842552
Gm9516,2.593818588,-4.795236831,3.258510975,-1.471603707,0.141127924,0.999842552
BC042761,2.585881449,-4.790855074,3.292052624,-1.455279007,0.145592036,0.999842552
Gm39937,2.538194336,-4.764667832,3.262073581,-1.460625493,0.144118246,0.999842552
2310008N11Rik,2.536030527,-4.762060656,3.923188994,-1.213823923,0.224814969,0.999842552
A930029G22Rik,2.536030527,-4.762060656,3.923188994,-1.213823923,0.224814969,0.999842552
Dbhos,2.536030527,-4.762060656,3.923188994,-1.213823923,0.224814969,0.999842552
Gm20556,2.536030527,-4.762060656,3.923188994,-1.213823923,0.224814969,0.999842552
Gm536,2.536030527,-4.762060656,3.923188994,-1.213823923,0.224814969,0.999842552
Trpm8,2.536030527,-4.762060656,3.923188994,-1.213823923,0.224814969,0.999842552
Gm28111,2.488343415,-4.734586745,3.453027841,-1.371140623,0.170331124,0.999842552
CJ186046Rik,2.482537947,-4.733641791,3.923515017,-1.206479845,0.227632526,0.999842552
Gm13078,2.482537947,-4.733641791,3.923515017,-1.206479845,0.227632526,0.999842552
Gm35930,2.464499859,-4.720916835,3.383571718,-1.39524657,0.162941498,0.999842552
Actrt3,2.442804043,-4.711087423,3.323654458,-1.417442,0.15635374,0.999842552
Gm38415,2.442820112,-4.71094805,3.293211579,-1.430502698,0.152572792,0.999842552
Gm40548,2.440656303,-4.707178248,3.340269389,-1.409221144,0.158769788,0.999842552
Tmem59l,2.440656303,-4.707178248,3.340269389,-1.409221144,0.158769788,0.999842552
Ppp1r42,2.4308903,-4.706530607,2.064896425,-2.279305902,0.022648887,0.999842552
Gm34696,2.438659966,-4.70606694,3.286887702,-1.431769919,0.152209679,0.999842552
Bmpr2,964.3458447,-4.680465479,2.263919052,-2.067417328,0.038694847,0.999842552
Krt4,2.371289444,-4.669168366,3.444022858,-1.355730945,0.17518479,0.999842552
Gm29979,2.369125635,-4.665361955,3.287534853,-1.419106462,0.15586798,0.999842552
4930463O16Rik,2.366961825,-4.66237888,3.924361228,-1.188060581,0.234809543,0.999842552
Adam28,2.366961825,-4.66237888,3.924361228,-1.188060581,0.234809543,0.999842552
Gm30961,2.366961825,-4.66237888,3.924361228,-1.188060581,0.234809543,0.999842552
Gm38991,2.366961825,-4.66237888,3.924361228,-1.188060581,0.234809543,0.999842552
Krt15,2.366961825,-4.66237888,3.924361228,-1.188060581,0.234809543,0.999842552
Gm16041,2.327379325,-4.640548984,3.924628883,-1.182417274,0.237040173,0.999842552
Tcp11l2,2.327379325,-4.640548984,3.924628883,-1.182417274,0.237040173,0.999842552
Frmd7,2.323602332,-4.640018502,3.924635438,-1.182280132,0.237094566,0.999842552
Gm46045,2.32341879,-4.638956914,1.93360767,-2.399120041,0.016434526,0.966528013
Pigr,2.325231585,-4.636545239,3.402972202,-1.362498711,0.173040551,0.999842552
Gm28729,2.315465582,-4.634344088,2.137329586,-2.168287062,0.030136852,0.999842552
AA465934,4.668662398,-4.630126828,2.604967993,-1.777421773,0.075498871,0.999842552
Gm39913,2.283501344,-4.611015187,3.321232218,-1.388344712,0.165032103,0.999842552
Gm46239,2.283501344,-4.611015187,3.321232218,-1.388344712,0.165032103,0.999842552
Sall1,2.27375141,-4.607810645,3.343756523,-1.37803414,0.168192748,0.999842552
Gm40798,2.271587601,-4.603624704,3.362282667,-1.369196216,0.170937949,0.999842552
Gm40237,2.269591264,-4.602451059,3.316844253,-1.387599389,0.165259068,0.999842552
Gm31456,2.257844994,-4.598182426,3.289095557,-1.398008159,0.162110617,0.999842552
Gm5724,2.237978042,-4.585805682,3.297847642,-1.39054504,0.164363432,0.999842552
Csmd2,2.228044566,-4.579557421,3.315804441,-1.381130131,0.167238953,0.999842552
Scyl2,24.3148056,-4.564855914,3.043830294,-1.499707761,NA,NA
Atp1a4,2.197893124,-4.555296064,3.92571364,-1.160374006,0.245896565,0.999842552
Bpi,2.197893124,-4.555296064,3.92571364,-1.160374006,0.245896565,0.999842552
Gprc6a,2.197893124,-4.555296064,3.92571364,-1.160374006,0.245896565,0.999842552
Igkv1-135,2.197893124,-4.555296064,3.92571364,-1.160374006,0.245896565,0.999842552
M5C1000I18Rik,2.197893124,-4.555296064,3.92571364,-1.160374006,0.245896565,0.999842552
Elmod1,2.178377186,-4.547043959,3.925822065,-1.158239952,0.246766129,0.999842552
Gm34333,2.178377186,-4.547043959,3.925822065,-1.158239952,0.246766129,0.999842552
Serpinb7,2.178377186,-4.547043959,3.925822065,-1.158239952,0.246766129,0.999842552
Gm36634,2.172220703,-4.541032029,3.925901446,-1.156685182,0.247401006,0.999842552
A730036I17Rik,2.156162883,-4.527546982,3.42680683,-1.321214532,0.186429842,0.999842552
Gm35041,2.156162883,-4.527546982,3.42680683,-1.321214532,0.186429842,0.999842552
Kifc1,13.19284538,-4.513376503,3.674080269,-1.228437098,NA,NA
Scimp,2.122553324,-4.508772686,3.340000863,-1.349931593,0.177037927,0.999842552
Gm46560,2.102686372,-4.495645733,3.320848228,-1.353764287,0.175811591,0.999842552
4930451E10Rik,2.102518899,-4.492076267,3.388342485,-1.325744457,0.184924356,0.999842552
Stmn3,2.102518899,-4.492076267,3.388342485,-1.325744457,0.184924356,0.999842552
Gm41699,2.100522563,-4.490834925,3.353479289,-1.339156899,0.180519601,0.999842552
Gm41918,2.092752896,-4.489023681,3.325944728,-1.349698822,0.17711261,0.999842552
Gm6637,2.092752896,-4.489023681,3.325944728,-1.349698822,0.17711261,0.999842552
Gm46659,2.078675343,-4.476077503,3.36535947,-1.330044396,0.183503644,0.999842552
Gm35285,2.072885944,-4.475635445,3.368832831,-1.328541863,0.183999163,0.999842552
Gm42080,2.072885944,-4.475635445,3.368832831,-1.328541863,0.183999163,0.999842552
Gm28707,2.072702402,-4.472231026,3.389617192,-1.31939118,0.187038369,0.999842552
Plxna4os1,2.072702402,-4.472231026,3.389617192,-1.31939118,0.187038369,0.999842552
4930598N05Rik,2.03315204,-4.447663514,3.927177471,-1.132534383,0.257409838,0.999842552
Taf6l,2.03315204,-4.447663514,3.927177471,-1.132534383,0.257409838,0.999842552
4933423K11Rik,2.028824422,-4.439622423,3.927291255,-1.13045408,0.258284937,0.999842552
Apol11a,2.028824422,-4.439622423,3.927291255,-1.13045408,0.258284937,0.999842552
Crh,2.028824422,-4.439622423,3.927291255,-1.13045408,0.258284937,0.999842552
E430016F16Rik,2.028824422,-4.439622423,3.927291255,-1.13045408,0.258284937,0.999842552
Gm30117,2.028824422,-4.439622423,3.927291255,-1.13045408,0.258284937,0.999842552
Gm30874,2.028824422,-4.439622423,3.927291255,-1.13045408,0.258284937,0.999842552
Gm46336,2.028824422,-4.439622423,3.927291255,-1.13045408,0.258284937,0.999842552
Igkv2-137,2.028824422,-4.439622423,3.927291255,-1.13045408,0.258284937,0.999842552
Olfr1211,2.028824422,-4.439622423,3.927291255,-1.13045408,0.258284937,0.999842552
Slc14a2,2.023035023,-4.438452624,1.997576692,-2.221918509,0.026288813,0.999842552
4921507G05Rik,2.017062082,-4.434138214,3.927369222,-1.12903523,0.258882972,0.999842552
Gm13021,2.017062082,-4.434138214,3.927369222,-1.12903523,0.258882972,0.999842552
Gm14743,2.017062082,-4.434138214,3.927369222,-1.12903523,0.258882972,0.999842552
Gm5930,1.987094181,-4.409652064,3.45499932,-1.276310545,0.201845764,0.999842552
Odf1,1.987094181,-4.409652064,3.45499932,-1.276310545,0.201845764,0.999842552
Dscaml1,1.977328178,-4.406428336,3.393961717,-1.298314095,0.194179425,0.999842552
Platr9,1.967394702,-4.399414827,3.370022074,-1.30545579,0.191737692,NA
Tmem235,1.957461226,-4.392361337,3.359067901,-1.307613143,0.191004557,NA
Tvp23bos,1.959274021,-4.389843208,3.397719112,-1.291997091,0.196358152,NA
Gm30855,1.957293753,-4.388406256,3.456750003,-1.269517973,0.204256384,NA
4930568E12Rik,1.933450197,-4.371200069,3.419586876,-1.278283087,0.201149629,NA
A830021F12Rik,1.933450197,-4.371200069,3.419586876,-1.278283087,0.201149629,NA
H2ap,1.933450197,-4.371200069,3.419586876,-1.278283087,0.201149629,NA
Lrtm2,1.933450197,-4.371200069,3.419586876,-1.278283087,0.201149629,NA
C730027H18Rik,1.927660798,-4.370908208,3.396491243,-1.286889291,0.198132878,NA
Gm6441,1.909606641,-4.353838219,3.40028796,-1.280432207,0.200393173,NA
1810012K16Rik,1.897860371,-4.348712877,3.653275037,-1.190360111,0.233904884,NA
Gm34654,1.887926895,-4.340925839,3.928740463,-1.1049154,0.269196249,NA
Gm35493,1.887926895,-4.340925839,3.928740463,-1.1049154,0.269196249,NA
Gm15264,3.826280935,-4.321403209,1.674650361,-2.580480863,0.009866282,0.706614652
E030044B06Rik,1.86190346,-4.318685616,3.929080862,-1.099159261,0.271698605,NA
Gm40704,1.86190346,-4.318685616,3.929080862,-1.099159261,0.271698605,NA
Gm42294,1.86190346,-4.318685616,3.929080862,-1.099159261,0.271698605,NA
Olfr1260,1.86190346,-4.318685616,3.929080862,-1.099159261,0.271698605,NA
Vmn2r33,1.86190346,-4.318685616,3.929080862,-1.099159261,0.271698605,NA
1700018B24Rik,35.13741136,-4.316168305,1.113384871,-3.876618424,0.000105918,0.033334294
Dlx6os1,1.85975572,-4.313861015,3.929155396,-1.097910513,0.272243567,NA
Dmrt1,1.85975572,-4.313861015,3.929155396,-1.097910513,0.272243567,NA
Fibcd1,1.85975572,-4.313861015,3.929155396,-1.097910513,0.272243567,NA
Gm33090,1.85975572,-4.313861015,3.929155396,-1.097910513,0.272243567,NA
Gm33391,1.85975572,-4.313861015,3.929155396,-1.097910513,0.272243567,NA
Gm35222,1.85975572,-4.313861015,3.929155396,-1.097910513,0.272243567,NA
Gm41835,1.85975572,-4.313861015,3.929155396,-1.097910513,0.272243567,NA
Gm46851,1.85975572,-4.313861015,3.929155396,-1.097910513,0.272243567,NA
Gm8181,1.85975572,-4.313861015,3.929155396,-1.097910513,0.272243567,NA
Mogat2,1.85975572,-4.313861015,3.929155396,-1.097910513,0.272243567,NA
Ocstamp,1.85975572,-4.313861015,3.929155396,-1.097910513,0.272243567,NA
B130006D01Rik,1.851969984,-4.31123308,3.671918163,-1.17410925,0.240351269,NA
Scimp,1.832103032,-4.29624315,3.465265618,-1.239801973,0.215048648,NA
Gm31620,1.822169556,-4.288687334,3.426553716,-1.251603707,0.210714303,NA
Krt40,1.822169556,-4.288687334,3.426553716,-1.251603707,0.210714303,NA
Tacr3,1.814232417,-4.282395176,3.466525978,-1.235356436,0.216697879,NA
Gm33398,1.818025479,-4.281276196,3.488796531,-1.227149866,0.219766268,NA
Gm35145,1.812068608,-4.276718869,3.554728735,-1.203106956,0.228934934,NA
Gm45950,1.812068608,-4.276718869,3.554728735,-1.203106956,0.228934934,NA
A330074K22Rik,1.802302604,-4.273438303,3.40015859,-1.256834995,0.208813391,NA
Odf3l1,1.792369129,-4.265733259,3.407479973,-1.251873318,0.210616029,NA
Trhde,1.792369129,-4.265733259,3.407479973,-1.251873318,0.210616029,NA
Alkal1,1.790388861,-4.263900408,3.537809895,-1.205237289,0.228111711,NA
Clec4g,1.782435653,-4.257963091,3.429323622,-1.2416335,0.214371816,NA
Zp3r,1.776295239,-4.248814307,3.440659937,-1.234883535,0.216873852,NA
Gm30145,1.764381496,-4.239295135,3.457545435,-1.226099618,0.22016119,NA
Gm35350,1.762385159,-4.23788386,3.457767985,-1.225612557,0.22034451,NA
Gm41300,1.762385159,-4.23788386,3.457767985,-1.225612557,0.22034451,NA
Pfn3,1.762385159,-4.23788386,3.457767985,-1.225612557,0.22034451,NA
4732490B19Rik,1.742701749,-4.225653858,3.930562689,-1.075076062,0.282340676,NA
4921525O09Rik,1.742701749,-4.225653858,3.930562689,-1.075076062,0.282340676,NA
4930519K11Rik,1.742701749,-4.225653858,3.930562689,-1.075076062,0.282340676,NA
Aadacl2fm2,1.742701749,-4.225653858,3.930562689,-1.075076062,0.282340676,NA
Gm33959,1.742701749,-4.225653858,3.930562689,-1.075076062,0.282340676,NA
Gm41021,1.742701749,-4.225653858,3.930562689,-1.075076062,0.282340676,NA
Gm5878,1.742701749,-4.225653858,3.930562689,-1.075076062,0.282340676,NA
Ssxb10,1.742701749,-4.225653858,3.930562689,-1.075076062,0.282340676,NA
BC051537,1.742518207,-4.220467621,2.175155808,-1.940305887,0.052342526,NA
Dnaic1,1.706744838,-4.193183395,3.931102651,-1.066668507,0.286121553,NA
Gm28836,1.706744838,-4.193183395,3.931102651,-1.066668507,0.286121553,NA
Gm31469,1.706744838,-4.193183395,3.931102651,-1.066668507,0.286121553,NA
Gm35437,1.706744838,-4.193183395,3.931102651,-1.066668507,0.286121553,NA
Rad21l,1.706744838,-4.193183395,3.931102651,-1.066668507,0.286121553,NA
